cip4,cip_desc
1199,"Computer and Information Sciences and Support Services, Other."
1303,Curriculum and Instruction.
3014,Museology/Museum Studies.
4503,Archeology.
0108,Agricultural Public Services.
0112,Soil Sciences.
0199,"Agriculture, Agriculture Operations, and Related Sciences, Other."
0405,Interior Architecture.
1402,"Aerospace, Aeronautical and Astronautical Engineering."
1403,Agricultural Engineering.
1418,Materials Engineering
1423,Nuclear Engineering.
1435,Industrial Engineering.
1699,"Foreign Languages, Literatures, and Linguistics, Other."
1999,"Family and Consumer Sciences/Human Sciences, Other."
2399,"English Language and Literature/Letters, Other."
2705,Statistics.
2799,"Mathematics and Statistics, Other."
3019,Nutrition Sciences.
5099,"Visual and Performing Arts, Other."
1404,Architectural Engineering.
4405,Public Policy Analysis.
2603,Botany/Plant Biology.
2607,Zoology/Animal Biology.
3026,Cultural Studies/Critical Theory and Analysis.
1413,Engineering Science.
3015,"Science, Technology and Society."
3022,Classical and Ancient Studies.
3025,Cognitive Science.
0105,Agricultural and Domestic Animal Services.
1103,Data Processing.
1106,Data Entry/Microcomputer Applications.
5126,Health Aides/Attendants/Orderlies.
